username,repo_name,stars,repo_url
sindresorhus,awesome,281000,https://github.com/sindresorhus/awesome
vinta,awesome-python,191000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,161000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,116000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,113000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,79700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,72300,https://github.com/Hack-with-Github/Awesome-Hacking
DopplerHQ,awesome-interview-questions,60400,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,59600,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,54000,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,52100,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,51300,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,50000,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,49500,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48000,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44600,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,43600,https://github.com/tiimgreen/github-cheat-sheet
rust-unofficial,awesome-rust,39400,https://github.com/rust-unofficial/awesome-rust
brillout,awesome-react-components,38700,https://github.com/brillout/awesome-react-components
akullpp,awesome-java,38600,https://github.com/akullpp/awesome-java
